Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW491154,9347483,10/13/2013 09:25:00 AM,089XX S HOUSTON AVE,820,THEFT,$500 AND UNDER,CHA APARTMENT,FALSE,FALSE,424,10,6,1198112,1846347,2013,05/15/2014 12:36:49 PM,41.733211696,-87.549801449,"(41.733211696, -87.549801449)"
HW511408,9368505,10/28/2013 05:00:00 PM,102XX S STONY ISLAND AVE,810,THEFT,OVER $500,CONSTRUCTION SITE,FALSE,FALSE,431,10,6,1188446,1837032,2013,11/30/2013 02:20:59 PM,41.707886343,-87.585508482,"(41.707886343, -87.585508482)"
HW503822,9360693,10/22/2013 09:00:00 PM,020XX N ALBANY AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1414,35,6,1155227,1913653,2013,11/30/2013 11:56:33 AM,41.918871812,-87.705107097,"(41.918871812, -87.705107097)"
HW506048,9363034,10/24/2013 08:52:00 AM,026XX N ELSTON AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1432,1,6,1160777,1917685,2013,11/30/2013 12:02:05 PM,41.929822521,-87.684603724,"(41.929822521, -87.684603724)"
HW496368,9353336,10/07/2013 09:00:00 PM,069XX S LAFLIN ST,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,734,17,6,1167502,1858381,2013,11/30/2013 01:41:44 PM,41.766944627,-87.661595883,"(41.766944627, -87.661595883)"
HW534029,9390734,11/14/2013 07:00:00 PM,061XX S DAMEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,714,15,6,1164125,1863768,2013,11/30/2013 01:46:23 PM,41.781798985,-87.673822558,"(41.781798985, -87.673822558)"
HW529820,9386184,11/11/2013 06:50:00 PM,023XX W DEVON AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,2412,50,6,1159721,1942477,2013,11/30/2013 09:40:24 PM,41.9978749,-87.68779787,"(41.9978749, -87.68779787)"
HW531973,9388604,11/13/2013 12:00:00 PM,057XX N CAMPBELL AVE,820,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,2011,40,6,1158591,1937834,2013,11/30/2013 11:50:43 AM,41.985157623,-87.692082638,"(41.985157623, -87.692082638)"
HW520910,9378745,11/04/2013 03:00:00 PM,069XX S PRINCETON AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,731,6,6,1175456,1858800,2013,11/30/2013 01:37:20 PM,41.76792025,-87.632428858,"(41.76792025, -87.632428858)"
HW520162,9377581,11/04/2013 10:37:00 AM,015XX W MC LEAN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1432,32,6,1165654,1913542,2013,11/30/2013 12:04:32 PM,41.91835123,-87.66680044,"(41.91835123, -87.66680044)"
HW521387,9377872,11/04/2013 05:45:00 PM,064XX N SHERIDAN RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2432,40,6,1167042,1943306,2013,11/30/2013 09:45:02 PM,41.999995084,-87.660842649,"(41.999995084, -87.660842649)"
HW521685,9378442,11/05/2013 01:15:00 PM,033XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1413,35,6,1153638,1915716,2013,11/30/2013 12:05:10 PM,41.92456465,-87.710890259,"(41.92456465, -87.710890259)"
HW541167,9398195,11/20/2013 03:00:00 PM,069XX S HALSTED ST,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,732,6,6,1172205,1858859,2013,11/30/2013 05:11:15 AM,41.768154234,-87.644343489,"(41.768154234, -87.644343489)"
HW538468,9394862,11/18/2013 12:30:00 AM,012XX W LOYOLA AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2432,40,6,1166827,1943742,2013,11/30/2013 09:00:09 PM,42.001196107,-87.661620998,"(42.001196107, -87.661620998)"
HW536403,9392802,11/16/2013 08:30:00 PM,064XX N ROCKWELL ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,50,6,1157778,1942701,2013,11/30/2013 09:41:06 PM,41.998529537,-87.694939345,"(41.998529537, -87.694939345)"
HW546092,9402846,11/24/2013 09:05:00 AM,021XX W 82ND PL,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,614,18,6,1163697,1849895,2013,11/30/2013 07:27:40 AM,41.743738516,-87.675780518,"(41.743738516, -87.675780518)"
HW544983,9402020,11/22/2013 04:00:00 PM,001XX W 75TH ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,623,6,6,1176379,1855212,2013,11/30/2013 09:29:03 AM,41.758053678,-87.629153323,"(41.758053678, -87.629153323)"
HW545172,9402161,11/22/2013 08:00:00 PM,086XX S INDIANA AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,632,6,6,1179063,1847677,2013,11/30/2013 04:32:51 AM,41.737316056,-87.619545893,"(41.737316056, -87.619545893)"
HW545221,9402197,11/23/2013 12:15:00 PM,070XX S ASHLAND AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,735,17,6,1166853,1858231,2013,11/30/2013 04:39:37 AM,41.766546891,-87.663979011,"(41.766546891, -87.663979011)"
HW542516,9399680,11/21/2013 11:58:00 AM,006XX W 63RD ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,723,20,6,1172968,1863070,2013,11/30/2013 01:49:18 PM,41.779692901,-87.64142256,"(41.779692901, -87.64142256)"
HW548909,9409591,11/26/2013 02:07:00 PM,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,112,42,6,1176321,1900594,2013,11/30/2013 09:42:34 AM,41.882587116,-87.628000581,"(41.882587116, -87.628000581)"
HW552899,9409594,11/22/2013 06:00:00 AM,022XX N STOCKTON DR,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1814,43,6,1174045,1915454,2013,11/30/2013 09:43:01 AM,41.923414744,-87.635914406,"(41.923414744, -87.635914406)"
HW551997,9408690,09/24/2013 10:00:00 AM,123XX S PARNELL AVE,890,THEFT,FROM BUILDING,ABANDONED BUILDING,FALSE,FALSE,523,34,6,1174832,1823062,2013,11/30/2013 04:58:12 AM,41.669864142,-87.635777464,"(41.669864142, -87.635777464)"
HW552054,9408810,11/21/2013 01:30:00 AM,009XX W FULLERTON AVE,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1812,43,6,1169418,1916096,2013,11/30/2013 07:21:06 AM,41.92527843,-87.652896846,"(41.92527843, -87.652896846)"
HW551981,9408901,11/03/2013 06:00:00 PM,008XX N DAMEN AVE,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1212,32,6,1162960,1905551,2013,11/30/2013 06:29:27 AM,41.896480378,-87.676923047,"(41.896480378, -87.676923047)"
HW552132,9409030,10/10/2013 05:30:00 PM,059XX S ASHLAND AVE,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,714,15,6,1166644,1865524,2013,11/30/2013 05:11:00 AM,41.786564279,-87.664537184,"(41.786564279, -87.664537184)"
HW552207,9409074,11/24/2013 01:00:00 AM,014XX S CANAL ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,124,2,6,1173326,1893057,2013,11/30/2013 06:33:34 AM,41.861972097,-87.639221985,"(41.861972097, -87.639221985)"
HW548601,9405366,11/26/2013 10:40:00 AM,013XX E 79TH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,411,8,6,1186404,1852919,2013,11/30/2013 02:13:47 PM,41.751530409,-87.592485529,"(41.751530409, -87.592485529)"
HW548303,9404796,11/26/2013 12:00:00 AM,024XX N MILWAUKEE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1414,35,6,1156064,1916211,2013,11/29/2013 09:32:06 AM,41.925874299,-87.701962664,"(41.925874299, -87.701962664)"
HW512455,9369130,10/29/2013 02:00:00 PM,034XX N KIMBALL AVE,810,THEFT,OVER $500,SMALL RETAIL STORE,FALSE,FALSE,1733,35,6,1153147,1922986,2013,11/29/2013 01:11:02 PM,41.944523866,-87.71250097,"(41.944523866, -87.71250097)"
HW504499,9361435,10/23/2013 03:00:00 PM,083XX S STEWART AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,622,21,6,1175120,1849560,2013,11/29/2013 07:21:23 PM,41.742572081,-87.633935781,"(41.742572081, -87.633935781)"
